Generation,Best_Total_Distance
0,123.16538885281282
1,123.08889473526266
2,122.89037590535753
3,122.89037590535753
4,122.89037590535753
5,122.89037590535753
6,122.89037590535753
7,122.82318205521902
8,122.82318205521902
9,122.82318205521902
10,122.82318205521902
11,122.75997770419195
12,122.75997770419195
13,122.65170383558973
14,122.65170383558973
15,122.65170383558973
16,122.65170383558973
17,122.53457212125073
18,122.53457212125073
19,122.53457212125073
20,122.53457212125073
21,122.53457212125073
22,122.53457212125073
23,122.53457212125073
24,122.53457212125073
25,122.53457212125073
26,122.53457212125073
27,122.53457212125073
28,122.53457212125073
29,122.53457212125073
30,122.53457212125073
31,122.53457212125073
32,122.53457212125073
33,122.53457212125073
34,106.76979673058837
35,97.92252476020191
36,97.92252476020191
37,97.67455242302248
38,93.30547579121408
39,92.76608135827304
40,92.67510148132682
41,92.67510148132682
42,91.50653225777647
43,91.09002107096973
44,91.09002107096973
45,91.09002107096973
46,89.74359470672228
47,89.74359470672228
48,89.46902418094183
49,89.46902418094183
50,89.46902418094183
51,89.46902418094183
52,89.46902418094183
53,89.46902418094183
54,89.46902418094183
55,89.46902418094183
56,89.46902418094183
57,89.46902418094183
58,85.52174476793017
59,85.52174476793017
60,85.52174476793017
61,85.52174476793017
62,85.52174476793017
63,83.96317419542284
64,83.96317419542284
65,83.96317419542284
66,83.96317419542284
67,83.96317419542284
68,83.96317419542284
69,83.96317419542284
70,83.96317419542284
71,83.96317419542282
72,83.96317419542282
73,83.96317419542282
74,83.96317419542282
75,83.96317419542282
76,83.96317419542282
77,83.96317419542282
78,83.96317419542282
79,83.96317419542282
80,83.96317419542282
81,83.96317419542282
82,83.96317419542282
83,83.96317419542282
84,83.96317419542282
85,83.96317419542282
86,83.96317419542282
87,83.96317419542282
88,83.96317419542282
89,83.96317419542282
90,83.96317419542282
91,83.96317419542282
92,83.96317419542282
93,83.96317419542282
94,83.96317419542282
95,83.96317419542282
96,83.96317419542282
97,83.96317419542282
98,83.96317419542282
99,83.96317419542282
